anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes),N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_EXCLUS_RESIDENCIAL,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_VAGOS_TOTAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_VEND_ARRE,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OUTR_MOTIVOS,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_INDIVIDUOS,N_INDIVIDUOS_0A14,N_INDIVIDUOS_15A24,N_INDIVIDUOS_25A64,N_INDIVIDUOS_65_OU_MAIS,N_INDIVIDUO_ENSINCOMP_NENHUM,N_INDIVIDUO_ENSINCOMP_1BAS,N_INDIVIDUO_ENSINCOMP_2BAS,N_INDIVIDUO_ENSINCOMP_3BAS,N_INDIVIDUO_ENSINCOMP_SEC_E_POSSEC,N_INDIVIDUO_ENSINCOMP_SUP,N_INDIVIDUOS_COM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_SEM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_EMPREGADOS,N_INDIVIDUOS_DESEMPREGADOS_1EMP,N_INDIVIDUOS_DESEMPREGADOS_NOVOEMP,N_INDIVIDUOS_REFORMADOS,N_INDIVIDUOS_NAC_ESTRANGEIRA,RENDA BRUTA ANUAL 
Apartamentos T0 - totalmente equipados - Centro Braga,Apartamento,30349,BRAGA,BRAGA,BRAGA,30.0,750,564,441,394,1352,6791,761,377,384,3368,1633,13974,1928,1681,7934,2431,1521,1945,1365,2157,3331,3655,7085,6889,6472,80,533,2557,1100,9164.0
Arrenda-se T3 em Caramos-Felgueiras,Apartamento,130302,AIRAES,FELGUEIRAS,PORTO,100.0,550,838,81,2,921,1089,128,67,61,584,131,2292,279,281,1253,479,305,724,328,366,403,166,1074,1218,1019,6,49,494,7,7114.0
Apartamento T2 para arrendamento,Apartamento,101509,POMBAL,POMBAL,LEIRIA,86.0,600,5407,1280,179,6827,10476,1554,496,1058,5029,1454,16884,2319,1845,8874,3846,2461,3479,1574,2710,4087,2573,7838,9046,7423,46,369,3694,880,7675.0
Apartamento T1 em Caselas,Apartamento,110658,BELEM,LISBOA,LISBOA,30.0,1000,1373,1193,319,2762,9389,1429,550,879,4282,2294,16546,2468,1729,7958,4391,1843,1628,915,1789,2916,7455,7467,9079,7039,33,395,3815,1178,13415.0
"Quintinha de Charme para arrendar com Moradia T4,  jardim e piscina  .",Moradia,110508,CASCAIS,CASCAIS,LISBOA,332.0,9500,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Arrendamento TOP! Apartamento 4 quartos, 171m2 área, varanda, cozinha",Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,171.0,3900,329,419,978,1484,20331,2086,867,1219,9690,4824,34076,4057,3463,17560,8996,3278,2980,1730,3791,6199,16098,16610,17466,15646,65,899,7975,2149,13415.0
Arrenda-se Excelente T3 Mobillado ao Palacio de Cristal,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,116.0,1600,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
Moradia T3 para arrendamento,Moradia,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,179.0,1650,13992,3061,361,17353,25856,1492,665,827,14531,2854,48733,7599,5340,25763,10031,5902,7353,4083,7234,11892,12269,23244,25489,21506,159,1579,9750,2622,9927.0
"Apartamento T1 em Lisboa de 76,00 m2",Apartamento,111317,TURCIFAL,TORRES VEDRAS,LISBOA,76.0,1200,1637,152,0,1785,2025,310,116,194,1081,229,3591,462,406,1866,857,451,843,423,530,725,619,1698,1893,1623,7,68,796,178,8675.0
T2 com terraço na Pontinha,Apartamento,111608,PONTINHA,ODIVELAS,LISBOA,90.0,1200,3938,2173,235,6235,17372,1802,930,872,8376,4712,35111,5071,3665,18808,7567,4809,7523,3501,5677,8096,5505,16684,18427,15204,153,1327,7396,3164,9657.0
T2+1 Centro Vagos,Apartamento,11814,VAGOS,VAGOS,AVEIRO,83.0,650,2237,177,19,2430,3168,306,90,216,1924,350,6340,858,691,3361,1430,750,1420,768,1029,1379,994,3152,3188,2992,8,152,1309,198,7358.0
Apartamento todo Renovado,Apartamento,111608,PONTINHA,ODIVELAS,LISBOA,60.0,800,3938,2173,235,6235,17372,1802,930,872,8376,4712,35111,5071,3665,18808,7567,4809,7523,3501,5677,8096,5505,16684,18427,15204,153,1327,7396,3164,9657.0
"T2 Remodulado como novo, c/ lugar garagem, 1050€",Apartamento,131703,CANELAS,VILA NOVA DE GAIA,PORTO,60.0,1050,1863,332,143,2332,6005,426,279,147,3756,1219,13918,2039,1538,8078,2263,1688,2788,1755,2284,3310,2093,7174,6744,6428,71,675,2318,328,8928.0
Apartamento T1 renovado no centro de Lisboa ao lado Hospital c/terraço,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,50.0,1200,122,460,1177,1416,14812,2258,1034,1224,5008,4488,23261,3047,2480,12276,5458,2595,1875,1130,2172,3925,11564,11421,11840,10761,62,598,4727,2318,13415.0
Arrenda-se T1+1 em Moradia Térrea,Apartamento,131217,CEDOFEITA,PORTO,PORTO,65.0,700,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
